rating,handle,country,avatar,challengeregdate,submissionnumber,language,final_score,placement,provisionalpoints,joinedtopcoderdate
,lxastro0,China,,2021-04-02 09:00:45,457516,,(null),(null),,2020-10-09 02:28:00
,lxastro0,China,,2021-04-02 09:00:45,457517,,(null),(null),,2020-10-09 02:28:00
,lxastro0,China,,2021-04-02 09:00:45,457752,,(null),(null),,2020-10-09 02:28:00
,lxastro0,China,,2021-04-02 09:00:45,457754,,(null),(null),,2020-10-09 02:28:00
,lxastro0,China,,2021-04-02 09:00:45,457880,,(null),(null),,2020-10-09 02:28:00
,lxastro0,China,,2021-04-02 09:00:45,457881,,(null),(null),,2020-10-09 02:28:00
,lxastro0,China,,2021-04-02 09:00:45,457883,,(null),(null),,2020-10-09 02:28:00
,lxastro0,China,,2021-04-02 09:00:45,457884,,(null),(null),,2020-10-09 02:28:00
,lxastro0,China,,2021-04-02 09:00:45,459016,,(null),(null),,2020-10-09 02:28:00
,lxastro0,China,,2021-04-02 09:00:45,459017,,(null),(null),,2020-10-09 02:28:00
,lxastro0,China,,2021-04-02 09:00:45,459716,,43.15474,(null),43.15474,2020-10-09 02:28:00
1604,AliGebily,Egypt,https://topcoder-prod-media.s3.amazonaws.com/member/profile/AliGebily-1478200321798.jpeg,2021-04-04 04:59:20,457294,,(null),(null),,2014-01-05 03:53:16
1604,AliGebily,Egypt,https://topcoder-prod-media.s3.amazonaws.com/member/profile/AliGebily-1478200321798.jpeg,2021-04-04 04:59:20,457295,,(null),(null),,2014-01-05 03:53:16
1604,AliGebily,Egypt,https://topcoder-prod-media.s3.amazonaws.com/member/profile/AliGebily-1478200321798.jpeg,2021-04-04 04:59:20,457436,,(null),(null),,2014-01-05 03:53:16
2075,kiminya,Kenya,,2021-04-05 09:13:00,457885,,(null),(null),,2019-09-25 12:00:32
2075,kiminya,Kenya,,2021-04-05 09:13:00,458489,,(null),(null),,2019-09-25 12:00:32
2075,kiminya,Kenya,,2021-04-05 09:13:00,458771,,(null),(null),,2019-09-25 12:00:32
2075,kiminya,Kenya,,2021-04-05 09:13:00,458776,,(null),(null),,2019-09-25 12:00:32
2075,kiminya,Kenya,,2021-04-05 09:13:00,459013,,(null),(null),,2019-09-25 12:00:32
2075,kiminya,Kenya,,2021-04-05 09:13:00,459014,,(null),(null),,2019-09-25 12:00:32
2075,kiminya,Kenya,,2021-04-05 09:13:00,459066,,(null),(null),,2019-09-25 12:00:32
2075,kiminya,Kenya,,2021-04-05 09:13:00,459424,,(null),(null),,2019-09-25 12:00:32
2075,kiminya,Kenya,,2021-04-05 09:13:00,459711,,67.68250,(null),67.68250,2019-09-25 12:00:32
2075,kiminya,Kenya,,2021-04-05 09:13:00,459715,,68.86339,(null),68.86339,2019-09-25 12:00:32
1362,number13,Nepal,,2021-04-05 22:32:12,459712,,57.03075,(null),57.03075,2010-10-12 23:28:19
1362,number13,Nepal,,2021-04-05 22:32:12,459713,,54.91348,(null),54.91348,2010-10-12 23:28:19
1362,number13,Nepal,,2021-04-05 22:32:12,459714,,(null),(null),,2010-10-12 23:28:19
1602,sorokinv,Russia,,2021-04-10 05:58:15,459064,,(null),(null),,2013-01-24 07:27:17
1602,sorokinv,Russia,,2021-04-10 05:58:15,459065,,(null),(null),,2013-01-24 07:27:17
